WordEnglish;WordTranscript
Water;-H-N-
Who;-KH-N-
Wind;-H-L-KH-
You (thou);-SH-
Death;-L-M-
Ear;-T-
Eye;-T-
Four;-P-
Hand;-N-K-
I;-K-
Nose;-T-N-
Three;-T-
Tongue;-L-N-
Tooth;-SH-N-
Two;-SH-
Water;-N-
Who;-N-
Wind;-L-
You (thou);-M-
Death;-M-R-
Ear;-R-L-
Eye;-L-
Four;-K-T-R-
Hand;-M-
I;-ZH-
Name;-N-M-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-
Three;-T-R-S-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-S-
Water;-G-
Who;-K-
Wind;-V-N-T-
You (thou);-T-
Death;-M-M-T-
Ear;-G-D-L-G-
Eye;-M-T-
Four;-P-T-
Hand;-K-M-T-
I;-K-
Name;-N-G-L-N-
Night;-G-B-
Nose;-L-N-G-
Sun;-D-L-
Three;-T-L-
Tongue;-D-L-
Tooth;-N-G-P-N-
Two;-D-H-
Water;-T-B-G-
Who;-N-G-
Wind;-H-N-G-
You (thou);-K-W-
Death;-D-L-
Ear;-L-R-G-
Eye;-B-R-G-
Four;-D-
Hand;-K-
I;-S-
Name;-C-
Night;-B-S-
Nose;-M-R-
Sun;-M-L-KH-
Three;-K-
Tongue;-M-T-
Tooth;-C-R-G-
Two;-SH-
Water;-KH-
Who;-M-L-
Wind;-M-H-
You (thou);-KH-
Death;-S-
Ear;-ZH-Z-
Eye;-N-G-N-
Four;-S-
Hand;-S-
I;-N-G-
Name;-M-N-
Night;-J-
Nose;-B-
Sun;-T-J-N-
Three;-S-M-
Tongue;-L-
Tooth;-N-G-
Two;-ZH-
Water;-S-
Who;-B-N-G-
Wind;-F-N-
You (thou);-N-
Death;-S-
Ear;-R-D-
Eye;-J-N-
Four;-S-
Hand;-SH-
I;-W-
Name;-M-N-
Night;-J-
Nose;-B-Z-
Sun;-T-J-N-
Three;-S-N-
Tongue;-SH-
Tooth;-J-CH-
Two;-R-
Water;-SH-
Who;-SH-
Wind;-F-N-
You (thou);-N-
Death;-V-L-
Ear;-KH-L-KH-
Eye;-K-CH-
Four;-T-V-T-
Hand;-L-
I;-P-
Name;-T-
Night;-K-CH-
Nose;-S-M-S-
Sun;-KH-V-L-
Three;-V-CH-
Tongue;-CH-L-KH-
Tooth;-SH-L-
Two;-K-
Water;-SH-
Who;-K-M-
Wind;-CH-L-
You (thou);-S-
Death;-W-F-T-
Ear;-SH-SH-
Eye;-D-Z-C-
Four;-N-
Hand;-M-H-N-
I;-M-
Name;-D-Z-N-
Night;-M-S-H-
Sun;-ZH-
Three;-N-D-R-R-
Tongue;-L-M-
Two;-M-B-L-
Water;-M-ZH-
Who;-N-D-
Wind;-P-P-
You (thou);-W-
Death;-M-
Eye;-B-L-
Four;-F-T-
Hand;-ZH-ZH-
I;-N-K-
Name;-R-N-
Night;-ZH-W-R-H-
Sun;-R-
Three;-SH-M-T-
Two;-S-N-
Water;-M-
Who;-N-M-
Wind;-TH-
You (thou);-N-T-K-
Death;-M-R-
Ear;-S-K-R-N-
Eye;-L-G-S-
Four;-P-D-R-
Hand;-D-R-N-
I;-M-
Name;-H-N-
Night;-N-S-W-TH-
Nose;-F-R-D-G-
Sun;-H-L-
Three;-T-R-
Tongue;-T-V-
Tooth;-D-N-Z-
Two;-D-
Water;-D-R-
Who;-P-
Wind;-G-N-S-
You (thou);-T-
Death;-S-M-R-T-
Ear;-KH-
Eye;-K-
Four;-CH-T-R-
Hand;-R-K-
I;-J-
Name;-M-
Night;-N-CH-
Nose;-N-S-
Sun;-S-N-C-
Three;-T-R-
Tongue;-J-Z-K-
Tooth;-Z-B-
Two;-D-V-
Water;-V-D-
Who;-T-K-
Wind;-V-T-R-
You (thou);-T-
Death;-S-M-R-T-
Ear;-KH-
Eye;-K-
Four;-CH-T-R-
Hand;-R-K-
I;-J-
Name;-J-M-N-
Night;-N-C-
Nose;-N-S-
Sun;-S-L-N-C-
Three;-T-R-
Tongue;-J-Z-K-
Tooth;-Z-B-
Two;-D-V-
Water;-V-D-
Who;-K-D-
Wind;-V-T-R-
You (thou);-T-
Death;-M-R-
Ear;-R-K-L-
Eye;-V-K-L-
Hand;-M-N-
I;-J-
Name;-N-M-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-
Water;-K-
Who;-K-
Wind;-V-N-T-
Death;-D-D-
Ear;-R-
Eye;-J-
Four;-F-R-
Hand;-H-N-D-
I;-J-G-
Name;-N-V-N-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-
Three;-T-R-
Tongue;-T-N-G-
Tooth;-T-N-D-
Two;-T-
Water;-V-N-D-
Who;-V-M-
Wind;-V-N-D-
You (thou);-D-
Death;-B-K-
Ear;-L-P-
Eye;-7-L-
Hand;-N-K-
I;-D-
Name;-Z-
Night;-D-KH-
Nose;-K-K-
Sun;-B-R-
Tongue;-M-C-
Tooth;-C-L-
Two;-K-
Water;-H-N-
Who;-CH-
Wind;-CH-J-N-
You (thou);-7-
Death;-M-R-V-N-
Ear;-K-N-F-
Eye;-L-
Four;-H-TH-R-H-
Hand;-J-TH-L-
I;-M-
Name;-N-N-
Night;-R-
Nose;-N-F-J-
Sun;-R-
Three;-TH-N-H-
Tongue;-D-
Tooth;-D-
Two;-D-H-
Water;-F-N-
Who;-K-
Wind;-V-
You (thou);-K-L-
Death;-SH-B-
Ear;-J-
Eye;-B-
Hand;-K-CH-
I;-J-N-
Name;-S-M-
Night;-G-T-
Nose;-S-N-
Sun;-CH-ZH-
Tongue;-J-B-L-
Tooth;-ZH-
Two;-T-G-N-
Water;-J-
You (thou);-T-
Death;-K-W-D-
Ear;-T-
Eye;-D-S-
Four;-N-
Hand;-D-
I;-N-
Name;-D-N-
Night;-B-L-
Sun;-W-
Three;-L-L-
Tongue;-B-W-M-B-
Two;-B-
Water;-M-D-B-
Who;-N-ZH-
Wind;-N-G-
You (thou);-W-
Death;-D-D-
Ear;-R-
Eye;-KH-
Four;-F-R-
Hand;-H-N-D-
I;-K-
Name;-N-M-
Night;-N-KH-T-
Nose;-N-S-
Sun;-Z-N-
Three;-D-R-
Tongue;-T-N-G-
Tooth;-T-N-D-
Two;-T-V-
Water;-V-T-R-
Who;-V-
Wind;-V-N-D-
You (thou);-J-
Death;-H-L-B-
Ear;-S-R-
Eye;-L-T-
Hand;-SH-M-SH-
I;-H-
Name;-H-SH-
Night;-SH-T-M-
Nose;-SH-M-
Sun;-N-H-T-
Three;-Z-T-
Tongue;-T-T-
Tooth;-S-H-
Two;-M-R-
Water;-Z-L-
Who;-K-
Wind;-M-G-
You (thou);-N-
Death;-D-TH-
Ear;-R-
Eye;-J-
Four;-F-R-
Hand;-H-N-D-
I;-J-
Name;-N-M-
Night;-N-T-
Nose;-N-S-
Sun;-S-N-
Three;-TH-R-
Tongue;-T-N-G-
Tooth;-T-TH-
Two;-T-
Water;-W-T-R-
Who;-W-
Wind;-W-N-D-
You (thou);-TH-
Death;-S-R-M-
Ear;-K-R-V-
Eye;-S-L-M-
